amount,sender_balance_before,receiver_balance_before,hour,month_2026,is_fraud,transaction_type_peer,transaction_type_till,device_type_smartphone,region_Kisumu,region_Mombasa,region_Nairobi,region_Nakuru,day_of_week_Mon,day_of_week_Sat,day_of_week_Sun,day_of_week_Thu,day_of_week_Tue,day_of_week_Wed,amount_to_balance_ratio,is_late_night,low_sender_balance
703.9,58586.32,29932.92,14,1,0,True,False,True,False,False,True,False,False,False,False,False,True,False,0.012014545126829491,0,0
254.44,8088.0,22962.44,18,10,1,True,False,False,False,False,False,False,False,True,False,False,False,False,0.03145506243046112,0,0
609.04,56675.0,1029.22,7,5,0,False,True,True,True,False,False,False,False,False,False,True,False,False,0.010745994777330792,0,0
5255.34,75090.36,38.94,11,2,0,False,False,True,False,False,False,True,True,False,False,False,False,False,0.06998594778413922,0,0
7282.67,24408.96,26237.82,0,7,0,False,True,True,False,False,True,False,False,True,False,False,False,False,0.29834829717049927,1,0
848.31,42029.5,19993.05,16,12,0,True,False,True,False,False,False,False,False,False,False,False,True,False,0.02018320029502385,0,0
71.68,18698.43,4530.32,15,7,0,False,False,False,True,False,False,False,False,False,False,False,True,False,0.0038332719232618325,0,0
1445.02,41187.33,29620.73,11,4,0,False,False,True,False,True,False,False,True,False,False,False,False,False,0.035083238383299346,0,0
71.35,54456.57,22524.96,18,3,0,True,False,True,False,False,True,False,False,True,False,False,False,False,0.0013101943402909824,0,0
20.03,64690.95,15230.69,13,5,0,True,False,True,False,False,False,False,False,False,False,False,False,False,0.00030962121253108,0,0
154.17,19357.93,34163.18,19,11,0,False,False,True,True,False,False,False,True,False,False,False,False,False,0.007963766592471794,0,0
1412.4,2847.64,45466.02,7,5,0,True,False,False,True,False,False,False,False,False,False,False,True,False,0.4958155470680746,0,0
449.19,60453.38,21257.79,7,3,0,False,True,False,False,False,False,False,False,True,False,False,False,False,0.007430230861684464,0,0
349.68,14869.87,48479.23,3,9,0,True,False,True,False,False,False,True,False,False,False,False,True,False,0.023514427871402278,1,0
2238.37,31672.5,46332.94,1,6,0,False,False,False,False,False,True,False,False,False,True,False,False,False,0.0706701185533648,1,0
1948.92,7170.55,9799.14,14,2,0,False,False,False,False,True,False,False,False,True,False,False,False,False,0.27175715152233476,0,0
69.42,67578.25,37366.01,7,4,0,False,True,True,False,False,True,False,True,False,False,False,False,False,0.0010272383904822856,0,0
1163.79,28604.59,14046.73,23,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0406840061680252,1,0
1173.61,23772.25,8263.35,8,8,0,True,False,True,True,False,False,False,False,False,False,False,False,False,0.049366830366062694,0,0
23.64,61802.36,9935.78,8,1,0,True,False,True,True,False,False,False,False,True,False,False,False,False,0.000382503475539194,0,0
8.31,15987.51,35567.1,10,2,0,False,False,False,False,False,False,True,False,False,False,False,True,False,0.0005197482442078718,0,0
2342.23,74111.44,32553.85,4,5,0,True,False,True,False,True,False,False,True,False,False,False,False,False,0.03160373616089283,1,0
3696.94,49901.52,16544.9,8,5,0,False,True,True,False,False,False,False,False,False,False,False,False,False,0.07408323267041425,0,0
98.5,53540.42,33296.12,22,5,0,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0018396971914454267,1,0
1342.15,70988.3,23610.75,21,11,0,True,False,True,False,True,False,False,False,False,False,False,False,True,0.018906370396665415,0,0
191.06,67928.21,36086.48,13,3,0,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0028126339169850492,0,0
403.75,39554.27,26136.64,13,3,0,False,False,False,False,False,False,True,False,False,True,False,False,False,0.010207236608421584,0,0
836.72,35202.99,10085.96,9,12,0,False,False,False,False,False,False,False,False,False,True,False,False,False,0.02376776041579378,0,0
3391.64,25217.04,25428.53,16,5,0,True,False,True,False,True,False,False,False,False,False,False,True,False,0.13449260925908596,0,0
3571.9,48392.95,26992.05,22,7,0,True,False,False,False,True,False,False,True,False,False,False,False,False,0.07380881287846931,1,0
340.47,6250.69,14487.57,12,10,0,False,False,True,False,True,False,False,False,False,False,False,False,False,0.05446047388786073,0,0
263.71,49985.89,14781.68,1,1,0,True,False,False,True,False,False,False,False,True,False,False,False,False,0.005275583257930229,1,0
167.23,15006.95,44627.95,11,6,0,True,False,False,False,False,False,False,False,False,False,True,False,False,0.011142761003334898,0,0
1162.65,71697.69,15900.17,22,10,0,False,False,True,False,True,False,False,False,False,False,True,False,False,0.016215777443074623,1,0
174.89,28270.25,15239.06,19,8,0,True,False,False,False,False,False,False,False,True,False,False,False,False,0.006186143166644559,0,0
269.87,38837.91,34621.8,8,4,0,False,True,False,False,True,False,False,False,True,False,False,False,False,0.006948444227708759,0,0
470.86,75438.49,16160.15,23,7,0,False,True,False,False,False,False,True,False,False,False,False,False,False,0.006241558631957878,1,0
1097.18,32366.51,3244.61,8,9,0,False,False,False,False,False,True,False,False,False,False,False,False,False,0.03389757197881456,0,0
439.37,20217.41,24862.43,11,8,0,False,True,False,False,False,False,False,False,False,False,False,True,False,0.021731184598591087,0,0
536.9,79819.46,13339.05,16,2,0,True,False,False,False,False,False,True,True,False,False,False,False,False,0.006726345601115302,0,0
5633.49,2740.75,17253.56,21,6,1,False,True,False,False,False,False,True,False,False,False,True,False,False,2.0547059359897877,0,0
1509.12,42521.67,22389.16,1,6,0,False,False,False,False,False,True,False,False,False,False,False,True,False,0.035489775218724505,1,0
1207.44,53803.63,38080.98,22,8,0,True,False,True,False,False,False,True,False,False,False,True,False,False,0.022441191399327532,1,0
407.0,29485.87,31615.29,5,11,0,False,False,False,False,False,True,False,False,False,True,False,False,False,0.01380275356455263,1,0
1505.76,65332.91,39917.26,10,2,0,True,False,True,True,False,False,False,False,False,False,False,True,False,0.02304714351245777,0,0
245.05,55695.44,42917.94,5,10,0,False,True,True,False,False,True,False,False,True,False,False,False,False,0.004399742604733804,1,0
591.7,1425.37,25604.65,3,5,0,False,True,True,False,True,False,False,False,False,True,False,False,False,0.41482925187714276,1,0
385.24,14031.88,34546.89,6,12,0,False,False,False,False,False,True,False,True,False,False,False,False,False,0.027452668304724336,0,0
733.44,67033.04,33784.51,17,7,0,False,True,False,False,False,True,False,False,False,False,False,False,True,0.010941306834557489,0,0
1993.26,73983.02,43866.97,17,7,0,False,True,False,False,False,False,True,False,False,False,False,False,False,0.02694176391063908,0,0
447.49,65396.05,27760.04,15,1,0,False,True,True,True,False,False,False,True,False,False,False,False,False,0.00684266339230898,0,0
1131.42,79700.67,48270.97,1,4,0,True,False,True,False,False,True,False,False,False,False,True,False,False,0.014195687493122793,1,0
1225.66,27188.48,17460.48,22,11,0,False,False,True,True,False,False,False,False,False,False,False,True,False,0.04507846417070132,1,0
1941.7,68520.31,20225.41,2,6,0,False,True,False,False,True,False,False,False,False,False,False,False,False,0.028337169852707136,1,0
3280.81,6822.78,8081.44,19,4,0,True,False,False,False,False,True,False,False,True,False,False,False,False,0.4807907054447828,0,0
3432.35,46496.86,18614.14,19,1,0,False,False,True,False,False,True,False,False,False,False,True,False,False,0.07381737568137545,0,0
4223.46,12948.56,27436.69,17,11,0,False,True,True,False,False,False,False,False,False,True,False,False,False,0.3261469887779971,0,0
1765.97,79557.15,8796.26,15,7,0,True,False,True,False,False,False,False,False,True,False,False,False,False,0.022197223037488934,0,0
27.36,26099.44,37324.57,13,11,0,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0010482581902833822,0,0
1573.16,57703.1,15403.04,6,2,0,False,True,False,False,False,False,True,False,False,False,False,True,False,0.027262534204675233,0,0
1173.1,50942.98,12523.09,18,2,0,False,False,False,False,True,False,False,False,False,False,False,False,True,0.02302725464323753,0,0
1336.92,31508.51,44602.33,5,2,0,False,True,False,False,False,False,True,True,False,False,False,False,False,0.04242909521601574,1,0
1496.0,28071.26,32255.17,1,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,0.05329104247395828,1,0
1658.11,15699.91,36122.61,0,6,0,True,False,True,False,False,False,True,False,False,False,True,False,False,0.10560598079983899,1,0
494.37,61507.47,2180.19,2,5,0,True,False,False,True,False,False,False,False,False,False,False,False,False,0.008037429641803803,1,0
7818.35,73197.66,18507.94,13,8,0,False,True,True,False,False,False,False,False,False,False,False,False,False,0.10681001537459839,0,0
23.37,26526.95,27638.25,23,5,0,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0008809576314792512,1,0
1273.97,6120.17,15284.85,0,12,0,True,False,True,False,False,False,False,False,False,True,False,False,False,0.20812524403014457,1,0
317.77,25422.07,8474.64,0,7,0,True,False,False,True,False,False,False,False,False,False,True,False,False,0.012499277231270653,1,0
1220.61,55712.78,28503.06,21,6,0,False,False,False,True,False,False,False,True,False,False,False,False,False,0.021908583477911567,0,0
153.34,79205.3,7004.2,14,12,0,False,True,True,False,False,False,True,False,False,False,False,False,True,0.0019359571145224558,0,0
1095.74,25871.81,42433.49,1,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,0.042351024106001625,1,0
220.35,28823.34,14679.59,21,6,0,True,False,False,False,False,True,False,False,False,False,False,True,False,0.007644580934030059,0,0
2486.06,20570.93,30575.69,2,12,0,False,False,True,False,True,False,False,False,False,True,False,False,False,0.1208471932385537,1,0
127.67,40171.15,39914.76,6,6,0,False,True,True,True,False,False,False,False,True,False,False,False,False,0.003178072371033166,0,0
1574.58,63683.83,44500.27,13,10,0,True,False,False,False,False,False,True,True,False,False,False,False,False,0.02472456941472561,0,0
618.72,7609.16,28914.01,1,10,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0.08130183859472075,1,0
54.91,47307.58,1525.01,21,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,0.001160677407776771,0,0
57.1,24330.91,26854.12,5,4,0,False,True,True,True,False,False,False,True,False,False,False,False,False,0.0023467126090800107,1,0
593.24,61622.48,10791.05,7,8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0.00962685002534748,0,0
