Feature,XGB_Standard,XGB_CostSensitive,RF_Standard,RF_CostSensitive
amount,0.2845914,0.36762446,0.005882391,0.051349786
sender_balance_before,0.27006528,0.36588934,0.007593431,0.093369568
receiver_balance_before,0.2860103,0.43854964,0.002315202,0.035650866
hour,0.18258391,0.26532054,0.001895452,0.019477128
transaction_type_peer,0.043807607,0.05648634,0.000882129,0.00382925
transaction_type_till,0.04885611,0.04489505,0.000992711,0.004157633
device_type_smartphone,0.076873615,0.088808306,0.001409891,0.004382917
region_Kisumu,0.05343102,0.05839981,0.0008225,0.003143074
region_Mombasa,0.038628276,0.031323317,0.000644116,0.002922974
region_Nairobi,0.040985323,0.044272885,0.000753042,0.00306409
region_Nakuru,0.026476756,0.044719573,0.0007677,0.002857639
day_of_week_Mon,0.034547962,0.045507148,0.000634749,0.002249294
day_of_week_Sat,0.056896307,0.062160812,0.000556048,0.002207719
day_of_week_Sun,0.045094732,0.057364956,0.000497616,0.001905122
day_of_week_Thu,0.030467968,0.050524384,0.000614945,0.002228471
day_of_week_Tue,0.026457567,0.033405118,0.000597635,0.00259779
day_of_week_Wed,0.031038886,0.049758054,0.00053742,0.002262171
amount_to_balance_ratio,0.5964621,1.4570986,0.02562202,0.248481482
is_late_night,0.02863109,0.029135529,0.001143239,0.002885809
low_sender_balance,0,0.002154911,0.001877202,0.007747404
